staat,st,vwb,ver_bez,wk,DISTRICT_N,MP1879,occ_79,pr_army_79,pr_herrenhaus_79,party,aslvote,ztvote,provgini,landgini1882,agpop1882,totalpop1882,propag1882,urbanization1882,provcath1880,catholic1880,provineq1882,ineq1882,ryepop80,rye,cattlepop,cattle,lightind82,lightind,heavyind82,heavyind,dkp78,drp78,lib78,nlp78,dfp78,zen78,pol78,sapd78,dtvp78,part78,prot78,handelbankengastwirtsch,sumworkers,incometotal,avgwage,gdp,gdpworker,pop80,wheat_to_80,rye_to_80,barley_to_80,oats_to_80,trade,cons,libs,regs,zen,sapd,icpsr_name,cons_90,prty1,prty2,prty3,prty4,prty5,ineq2,urban2,landg2,lightind2,heavyind2,mp_occ1,mp_occ2,mp_occ3,mp_occ4,mp_occ5,landowner,ordvote,binary_ztvote,freetrade
Preussen,1,RB Koenigsberg,1,"WK1.1: Kreis Memel, Heydekrug",1.0,Graf von Moltke,Landowner,1.0,1.0,Conservative,1.0,1.0,,0.8345269994370904,26849.0,59181.0,45.36760108818709,0.5463239891181292,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,64.2,,,,34.7,,,0.4,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,64.2,34.7,,,0.4,MEMEL-HEYDEKRUG,69.1,1.0,0.0,0.0,0.0,0.0,0.2123206,0.2984699,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,35.100002
Preussen,1,RB Koenigsberg,1,"WK1.2: Kreis Labiau, Kreis Wehlau",2.0,Heyer (NW),White Collar,0.0,0.0,Conservative,,1.0,,0.8345269994370904,66939.0,102440.0,65.34459195626708,0.3465540804373292,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,62.6,,,36.6,,,,0.4,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,62.6,36.6,,,0.4,LABIAU-WEHLAU,54.9,1.0,0.0,0.0,0.0,0.0,0.2123206,0.12009973,0.69643533,0.00062835927,0.00029769875,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.4
Preussen,1,RB Koenigsberg,1,WK1.3: Stadt Königsberg,3.0,Stellter,White Collar,0.0,0.0,Conservative,1.0,1.0,,0.8345269994370904,1247.0,141102.0,0.8837578489319783,0.9911624215106802,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,,53.7,,,37.0,1.6,,7.7,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,53.7,37.0,,1.6,7.7,KONIGSBERG-PREUSS,0.0,1.0,0.0,0.0,0.0,0.0,0.2123206,0.9824029,0.69643533,0.00062835927,0.00029769875,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,44.7
Preussen,1,RB Koenigsberg,1,"WK1.4: Kreis Königsberg, Kreis Fischhausen",4.0,Batocki (Tortilowicz von),Landowner,0.0,0.0,Conservative,1.0,1.0,,0.8345269994370904,66877.0,106027.0,63.075443047525624,0.36924556952474374,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,66.8,,,,32.1,,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,66.8,32.1,,,,FISCHHAUSEN,56.6,1.0,0.0,0.0,0.0,0.0,0.2123206,0.13634229,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,32.1
Preussen,1,RB Koenigsberg,1,"WK1.5: Kreis Heiligenbeil, Kreis Pr. Eylau",5.0,von Tettau,Landowner,1.0,0.0,Conservative,1.0,1.0,,0.8345269994370904,35749.0,102124.0,35.005483529826485,0.6499451647017352,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,57.0,,,1.3,40.9,,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,57.0,42.2,,,,PR-EYLAU-HEILIGBL,73.2,1.0,0.0,0.0,0.0,0.0,0.2123206,0.42242873,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,40.9
Preussen,1,RB Koenigsberg,1,"WK1.6: Kreis Braunsberg, Kreis Heilsberg",6.0,Pohlmann,White Collar,0.0,0.0,Zentrum,0.0,1.0,,0.8345269994370904,70283.0,109434.0,64.2240985434143,0.357759014565857,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,,,6.6,,,93.0,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,,6.6,,93.0,,BRAUNSBG-HEILSBG,1.8,0.0,0.0,1.0,0.0,0.0,0.2123206,0.12799151,0.69643533,0.00062835927,0.00029769875,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.6
Preussen,1,RB Koenigsberg,1,"WK1.7: Kreis Pr. Holland, Kreis Mohrungen",7.0,Wichmann,Landowner,0.0,0.0,Conservative,1.0,1.0,,0.8345269994370904,67845.0,100930.0,67.21985534528882,0.3278014465471118,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,83.1,,,16.4,,0.4,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,83.1,16.4,,0.4,,MOHRUNG-PR-HOLLD,93.5,1.0,0.0,0.0,0.0,0.0,0.2123206,0.107453786,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Preussen,1,RB Koenigsberg,1,"WK1.8: Kreis Osterode, Kreis Neidenburg",8.0,Becker,Landowner,1.0,0.0,Conservative,1.0,1.0,,0.8345269994370904,88057.0,123900.0,71.07102502017756,0.2892897497982244,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,,63.6,,,35.3,0.4,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,63.6,35.3,,0.4,,NEIDENBG-OSTERODE,75.9,1.0,0.0,0.0,0.0,0.0,0.2123206,0.08368856,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,35.3
Preussen,1,RB Koenigsberg,1,"WK1.9: Kreis Allenstein, Kreis Rössel",9.0,Borowski,White Collar,0.0,0.0,Zentrum,0.0,1.0,,0.8345269994370904,46414.0,112735.0,41.17088747948729,0.588291125205127,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,,,,10.0,89.9,,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,,99.9,,,,ROSSEL-ALLENSTEIN,0.5,0.0,0.0,1.0,0.0,0.0,0.2123206,0.34608644,0.69643533,0.00062835927,0.00029769875,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,89.9
Preussen,1,RB Koenigsberg,1,"WK1.10: Kreis Rastenburg, Kreis Gerdauen, Kreis Friedland",10.0,Graf von Stolberg-Wernigerode,Landowner,1.0,1.0,Conservative,1.0,1.0,,0.8345269994370904,83228.0,127678.0,65.18585817447014,0.3481414182552986,,0.20629999999999998,,0.46078259005405087,,0.2055829067669368,,0.41117481361608593,,0.02506709532281483,,0.017253948476446464,64.0,,,0.6000000000000001,35.0,0.30000000000000004,,,,,,21674,495191,250930710,506.7352,373768972,754.7976,1155545,58209.1,217783.0,44999.3,119889.3,0.04376897,64.0,35.6,,0.3,,RASTENBG-FRIEDLD,53.5,1.0,0.0,0.0,0.0,0.0,0.2123206,0.12120245,0.69643533,0.00062835927,0.00029769875,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,35.0
